target_id,station,component_type,utility_function,pilot_priority,field_question,operator_baseline_as_of,operator_baseline,entity_status,field_status
metro-cleveland-park-restroom,Cleveland Park,customer_restroom,accessibility,high,Can a visitor recognize where and how to request restroom access?,2026-08-31,Customer restroom; manager assistance required; accessibility renovations planned,unresolved,planned
metro-columbia-heights-restroom,Columbia Heights,customer_restroom,accessibility,high,Can a visitor recognize the restroom access process/location?,2026-08-31,Customer restroom; manager assistance required; accessible restroom,unresolved,planned
metro-dupont-restroom,Dupont Circle,customer_restroom,accessibility,high,Can a visitor recognize where and how to request restroom access?,2026-08-31,Customer restroom; manager assistance required; accessibility renovations planned,unresolved,planned
metro-foggy-bottom-restroom,Foggy Bottom-GWU,customer_restroom,accessibility,high,Can a visitor recognize where and how to request restroom access?,2026-08-31,Customer restroom; manager assistance required; accessibility renovations planned,unresolved,planned
metro-gallery-place-restroom,Gallery Place,customer_restroom,accessibility,high,Can a visitor recognize where and how to request restroom access?,2026-08-31,Customer restroom; manager assistance required; accessibility renovations planned,unresolved,planned
metro-lenfant-restroom,L'Enfant Plaza,customer_restroom,accessibility,high,Can a visitor recognize where and how to request restroom access?,2026-08-31,Customer restroom; manager assistance required; accessibility renovations planned,unresolved,planned
metro-lenfant-elevator,L'Enfant Plaza,street_elevator,wayfinding,high,Does the photograph make the street elevator and its destination legible?,2026-09-19,WMATA publishes elevator-specific wayfinding and is rolling out revised station wayfinding,unresolved,planned
metro-dupont-elevator,Dupont Circle,street_elevator,accessibility,high,Can a first-time rider identify the accessible street entrance from ordinary public space?,2026-09-19,All rail stations have street-to-mezzanine elevator access; Dupont elevator rehabilitation completed FY2026 Q1,unresolved,planned
metro-gallery-place-elevator,Gallery Place,street_elevator,accessibility,high,Can a first-time rider distinguish the accessible street entrance in a complex station?,2026-09-19,All rail stations have street-to-mezzanine elevator access; elevator rehabilitation continued in FY2026 Q1,unresolved,planned
metro-metro-center-elevator,Metro Center,street_elevator,wayfinding,high,Can a first-time rider distinguish the accessible street entrance from other station entrances?,2026-09-19,All rail stations have street-to-mezzanine elevator access,unresolved,planned
